subject_id,group,roi,category_id,parameter_estimate
sub-15,controls,left_IPS,4,7.15057098865509
sub-20,controls,left_IPS,4,4.11451029777527
sub-22,controls,left_IPS,4,-4.17058819532394
sub-23,controls,left_IPS,4,-2.01826792955399
sub-24,controls,left_IPS,4,3.03319275379181
sub-25,controls,left_IPS,4,2.15352672338486
sub-01,controls,left_IPS,5,5.56444096565247
sub-02,controls,left_IPS,5,-1.59516808390617
sub-05,controls,left_IPS,5,1.65894976258278
sub-11,controls,left_IPS,5,1.9129424393177
sub-12,controls,left_IPS,5,3.23992913961411
sub-13,controls,left_IPS,5,7.09466862678528
sub-15,controls,left_IPS,5,7.71480345726013
sub-20,controls,left_IPS,5,5.56696623563766
sub-22,controls,left_IPS,5,-2.6272189617157
sub-23,controls,left_IPS,5,-1.62567514181137
sub-24,controls,left_IPS,5,3.3122227191925
sub-25,controls,left_IPS,5,2.47640931606293
sub-01,controls,left_IPS,6,-3.89504063129425
sub-02,controls,left_IPS,6,-1.68278211355209
sub-05,controls,left_IPS,6,-1.90217256546021
sub-11,controls,left_IPS,6,-13.6959552764893
sub-12,controls,left_IPS,6,-3.53995311260223
sub-13,controls,left_IPS,6,-2.02861797064543
sub-15,controls,left_IPS,6,0.813270449638367
sub-20,controls,left_IPS,6,5.04139351844788
sub-22,controls,left_IPS,6,-1.10669211670756
sub-23,controls,left_IPS,6,-6.16713213920593
sub-24,controls,left_IPS,6,1.25844863057137
sub-25,controls,left_IPS,6,-0.53325754404068
sub-03,logicians,left_IPS,1,4.93868255615234
sub-06,logicians,left_IPS,1,3.23764681816101
sub-07,logicians,left_IPS,1,10.0725774765015
sub-08,logicians,left_IPS,1,-1.48336589336395
sub-09,logicians,left_IPS,1,4.50892925262451
sub-10,logicians,left_IPS,1,4.47442615032196
sub-14,logicians,left_IPS,1,-2.34292811155319
sub-16,logicians,left_IPS,1,20.8013505935669
sub-17,logicians,left_IPS,1,7.32467412948608
sub-18,logicians,left_IPS,1,1.41358864307404
sub-19,logicians,left_IPS,1,5.93455421924591
sub-21,logicians,left_IPS,1,3.85497522354126
sub-03,logicians,left_IPS,2,4.38590371608734
sub-06,logicians,left_IPS,2,3.86949408054352
sub-07,logicians,left_IPS,2,17.4454069137573
sub-08,logicians,left_IPS,2,-2.04812926054001
sub-09,logicians,left_IPS,2,5.37180435657501
sub-10,logicians,left_IPS,2,2.95327985286713
sub-14,logicians,left_IPS,2,-0.861179113388062
sub-16,logicians,left_IPS,2,21.7475252151489
sub-17,logicians,left_IPS,2,7.20971918106079
sub-18,logicians,left_IPS,2,0.453842878341675
sub-19,logicians,left_IPS,2,7.55386114120483
sub-21,logicians,left_IPS,2,3.80402326583862
sub-03,logicians,left_IPS,3,1.18722476810217
sub-06,logicians,left_IPS,3,3.35365402698517
sub-07,logicians,left_IPS,3,9.3063759803772
sub-08,logicians,left_IPS,3,-1.6364523768425
sub-09,logicians,left_IPS,3,3.7558091878891
sub-10,logicians,left_IPS,3,3.00077426433563
sub-14,logicians,left_IPS,3,-2.29730486869812
sub-16,logicians,left_IPS,3,16.6058292388916
